Id,Sheep Breed,Any Diseases,Output
13,Chokla,Copper poisoning,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. This disease may lead to stringy wool and swayback or enzootic ataxia of lambs, which is a condition where lambs cannot coordinate their legs"
14,Chokla,Dermatophilosis,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. The wool of affected sheep may become matted and lumpy, and the fibers may be damaged . The wool may also become contaminated with bacteria, which can lead to further complications "
15,Chokla,Exposure losses,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. it is possible that exposure losses can indirectly affect wool quality by causing stress to the sheep, which can lead to wool breakage or wool loss"
16,Chokla,Foot abscess,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. it is possible that foot abscesses can indirectly affect wool quality by causing stress to the sheep, which can lead to wool breakage or wool loss"
17,Chokla,Footrot,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. Footrot can cause sheep to lose weight, produce less wool, and have lower lambing performance"
18,Chokla,Grasstetany(hypomagnesaemia),"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. The disease can lead to decreased wool production and quality due to stress and poor overall health."
19,Chokla,Large lungworm,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. This disease might result in lower wool yields and poorer wool quality, as the sheep may not have the energy or resources to produce high-quality wool."
20,Chokla,Listerosis(circling disease),"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately.  the illness and death of affected sheep can result in decreased wool quality and quantity due to stress and reduced flock size."
21,Chokla,Lupinosis,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. Due to this disease,There were reductions in clean fleece weight, yield, mean fibre diameter and staple strength, and changes in position of break attributable to administration of phomopsins"
22,Chokla,Mastitis,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. Mastitis in sheep can have an impact on wool quality and quantity. The inflammation caused by mastitis can lead to changes in the wool follicles, resulting in uneven wool growth, shorter staple length, and wool quality. In severe cases, the inflammation can cause wool breakage, leading to wool loss."
23,Chokla,Milk fever(hypocalcaemia),"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. Regarding wool, there is no direct impact of milk fever on the quality or quantity of wool production."
24,Chokla,Nitrate poisoning,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. This might cause wool fibers to become brittle and break more easily.It can also cause discoloration of wool.The wool may be weaker, have more breaks, and be more prone to shrinkage during processing."
25,Chokla,Ovine Johne's disease(OJD),"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. OJD can affect wool production in infected sheep. The disease causes severe wasting, which can lead to a decrease in body condition score and wool production. Additionally, the wool quality may be affected due to the poor nutrition of the infected sheep "
26,Chokla,Oxalate poisoning,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. it is known that the disease can cause a decrease in body condition score and wool production due to severe wasting"
27,Chokla,Perennial ryegrass,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. it is known that the disease can cause a decrease in body condition score and wool production due to severe wasting"
28,Chokla,Phalaris poisoning,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately.  The wool may become coarse, brittle, and discolored, leading to reduced wool quality."
29,Chokla,Phalaris staggers,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. The disease might lead to abnormal wool growth or damage to the wool follicles."
30,Chokla,Photosensitisation,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. In severe cases, the skin damage can lead to skin sloughing, which can further exacerbate the impact on wool production."
31,Chokla,Pink eye,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately.  In some cases, the inflammation and discharge caused by the infection can also lead to wool staining, which can be difficult to remove and may affect the value of the wool."
32,Chokla,Pneumonia,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. Pneumonia can also cause wool break in sheep, which is when thin, weak areas in the fibers cause the fleece to break apart when tugged."
33,Chokla,Polioencephalomalacia,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. In severe cases of PEM, animals may be unable to stand or may have seizures, which can further compromise their ability to eat and drink and can lead to weight loss and decreased wool production."
34,Chokla,Pregnancy toxaemia,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. The disease doesn’t affect wool"
35,Chokla,Pulpy kidney(enterotoxaemia),"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. The disease might affect the wool follicles and cause wool breakage or loss"
36,Chokla,Pyrrolizidine alkaloid poisoning,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. Pyrrolizidine alkaloid poisoning in sheep can result in lighter weight and decreased wool growth compared to sheep grazing on Echium-free pasture."
37,Chokla,Scabby mouth,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. The virus that causes scabby mouth can also cause lesions on other body parts, which may become susceptible to secondary bacterial invasion, further impacting the health and well-being of the sheep and potentially affecting wool production. "
38,Chokla,Selenium deficiency(white muscle),"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. Inadequate levels of selenium can result in a wool fleece that is lacking in its natural ""crimp,"" which is the natural wave or curl in the wool fibers. This can lead to a less valuable wool clip for farmers."
39,Chokla,"Tapeworm cysts(bladder worm, sheep measles,hydatids)","This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately.  tapeworm cysts in sheep can affect wool quality and quantity indirectly through various mechanisms, including carcase condemnation, reduced animal value, stress, poor nutrition, changes in management practices, and human health risks"
40,Chokla,Tetanus,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. There is no direct evidence that tetanus affects wool production in sheep."
41,Chokla,Vibrosis,"This sheep breed usually produces carpet wool and color of wool can be reddish brown in colour. The fleece is typically removed from the entire body, with the exception of the head, legs, and belly, which may be shorn separately. There is no direct evidence that Vibriosis affects wool production in sheep"
42,Nali,None,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process."
43,Nali,Sheep Lice,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process.. The disease might lead to decreased wool value from cotton fleeces,decresased fibre length, fleece weight, staple strength, style and colour."
44,Nali,Sheep worms,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process.. The disease might lead to reduced wool value from cotton fleeces,decreased fibre length, fleece weight, staple strength,style and colour"
45,Nali,Flystrike," Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process..With this disease,The wool around the affected area may become matted and discolored, and the wool fibers may break down due to the presence of maggots and their secretions. The wool may also become contaminated with urine and fecal material, which can provide an effective breeding ground for maggots even in the relative absence of wounds"
46,Nali,Acidosis,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process.. The disease might lead to decrease in wool quality and quantity as well as reduction in wool fibre diameter "
47,Nali,Annual ryegrass toxicity(ARGT),"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process.. The disease might lead to reduce wool fiber diameter, staple strength, weight gain, and lambing percentages "
48,Nali,Arthritis,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process.. Young lambs are the most susceptible to developing arthritis following spread of infection from the navel or infected marking, mulesing and/or shearing wounds "
49,Nali,Botulism,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process.. The disease does not affect wool quality"
50,Nali,Cheesy gland(CLA),"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process.. The disease can lead to lose around 4-7% of their clean wool production "
51,Nali,Cobalt deficiency,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process.. The disease might result in poor coat of wool"
52,Nali,Coccidiosis,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process.. diarrhea caused by coccidiosis can also lead to heavily soiled fleece and an increased risk of flystrike "
53,Nali,Copper deficiency,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process.. copper deficiency may result in a poor fleece without its natural “crimp” which has been described as “steely wool”"
54,Nali,Copper poisoning,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process. This disease may lead to stringy wool and swayback or enzootic ataxia of lambs, which is a condition where lambs cannot coordinate their legs"
55,Nali,Dermatophilosis,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process. The wool of affected sheep may become matted and lumpy, and the fibers may be damaged . The wool may also become contaminated with bacteria, which can lead to further complications "
56,Nali,Exposure losses,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process. it is possible that exposure losses can indirectly affect wool quality by causing stress to the sheep, which can lead to wool breakage or wool loss"
57,Nali,Foot abscess,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process.it is possible that foot abscesses can indirectly affect wool quality by causing stress to the sheep, which can lead to wool breakage or wool loss"
58,Nali,Footrot,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process. Footrot can cause sheep to lose weight, produce less wool, and have lower lambing performance"
59,Nali,Grasstetany(hypomagnesaemia),"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process. The disease can lead to decreased wool production and quality due to stress and poor overall health."
60,Nali,Large lungworm,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process. This disease might result in lower wool yields and poorer wool quality, as the sheep may not have the energy or resources to produce high-quality wool."
61,Nali,Listerosis(circling disease),"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process..  the illness and death of affected sheep can result in decreased wool quality and quantity due to stress and reduced flock size."
62,Nali,Lupinosis,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process. Due to this disease,There were reductions in clean fleece weight, yield, mean fibre diameter and staple strength, and changes in position of break attributable to administration of phomopsins"
63,Nali,Mastitis,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process. Mastitis in sheep can have an impact on wool quality and quantity. The inflammation caused by mastitis can lead to changes in the wool follicles, resulting in uneven wool growth, shorter staple length, and wool quality. In severe cases, the inflammation can cause wool breakage, leading to wool loss."
64,Nali,Milk fever(hypocalcaemia),"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process.Regarding wool, there is no direct impact of milk fever on the quality or quantity of wool production."
65,Nali,Nitrate poisoning,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process.This might cause wool fibers to become brittle and break more easily.It can also cause discoloration of wool.The wool may be weaker, have more breaks, and be more prone to shrinkage during processing."
66,Nali,Ovine Johne's disease(OJD),"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process. OJD can affect wool production in infected sheep. The disease causes severe wasting, which can lead to a decrease in body condition score and wool production. Additionally, the wool quality may be affected due to the poor nutrition of the infected sheep "
67,Nali,Oxalate poisoning,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process. it is known that the disease can cause a decrease in body condition score and wool production due to severe wasting"
68,Nali,Perennial ryegrass,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process. it is known that the disease can cause a decrease in body condition score and wool production due to severe wasting"
69,Nali,Phalaris poisoning,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process.  The wool may become coarse, brittle, and discolored, leading to reduced wool quality."
70,Nali,Phalaris staggers,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process. The disease might lead to abnormal wool growth or damage to the wool follicles."
71,Nali,Photosensitisation,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process. In severe cases, the skin damage can lead to skin sloughing, which can further exacerbate the impact on wool production."
72,Nali,Pink eye,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process.  In some cases, the inflammation and discharge caused by the infection can also lead to wool staining, which can be difficult to remove and may affect the value of the wool."
73,Nali,Pneumonia,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process. Pneumonia can also cause wool break in sheep, which is when thin, weak areas in the fibers cause the fleece to break apart when tugged."
74,Nali,Polioencephalomalacia,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process. In severe cases of PEM, animals may be unable to stand or may have seizures, which can further compromise their ability to eat and drink and can lead to weight loss and decreased wool production."
75,Nali,Pregnancy toxaemia,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process. The disease doesn’t affect wool"
76,Nali,Pulpy kidney(enterotoxaemia),"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process. The disease might affect the wool follicles and cause wool breakage or loss"
77,Nali,Pyrrolizidine alkaloid poisoning,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process. Pyrrolizidine alkaloid poisoning in sheep can result in lighter weight and decreased wool growth compared to sheep grazing on Echium-free pasture."
78,Nali,Scabby mouth,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process. The virus that causes scabby mouth can also cause lesions on other body parts, which may become susceptible to secondary bacterial invasion, further impacting the health and well-being of the sheep and potentially affecting wool production. "
79,Nali,Selenium deficiency(white muscle),"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process. Inadequate levels of selenium can result in a wool fleece that is lacking in its natural ""crimp,"" which is the natural wave or curl in the wool fibers. This can lead to a less valuable wool clip for farmers."
80,Nali,"Tapeworm cysts(bladder worm, sheep measles,hydatids)","Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process.tapeworm cysts in sheep can affect wool quality and quantity indirectly through various mechanisms, including carcase condemnation, reduced animal value, stress, poor nutrition, changes in management practices, and human health risks"
81,Nali,Tetanus,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process. There is no direct evidence that tetanus affects wool production in sheep."
82,Nali,Vibrosis,"Face colour of sheep is light brown.Fleece of this sheep breed is white,coarse,dense and long-stapled.The wool is sheared from the body of the Nali breed sheep in the shearing process. There is no direct evidence that Vibriosis affects wool production in sheep"
83,Marwari,None,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense"
84,Marwari,Sheep Lice,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense.The disease might lead to decreased wool value from cotton fleeces,decresased fibre length, fleece weight, staple strength, style and colour."
85,Marwari,Sheep worms,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. The disease might lead to reduced wool value from cotton fleeces,decreased fibre length, fleece weight, staple strength,style and colour"
86,Marwari,Flystrike,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense.With this disease,The wool around the affected area may become matted and discolored, and the wool fibers may break down due to the presence of maggots and their secretions. The wool may also become contaminated with urine and fecal material, which can provide an effective breeding ground for maggots even in the relative absence of wounds"
87,Marwari,Acidosis,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. The disease might lead to decrease in wool quality and quantity as well as reduction in wool fibre diameter "
88,Marwari,Annual ryegrass toxicity(ARGT),"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. The disease might lead to reduce wool fiber diameter, staple strength, weight gain, and lambing percentages "
89,Marwari,Arthritis,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. Young lambs are the most susceptible to developing arthritis following spread of infection from the navel or infected marking, mulesing and/or shearing wounds "
90,Marwari,Botulism,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. The disease does not affect wool quality"
91,Marwari,Cheesy gland(CLA),"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. The disease can lead to lose around 4-7% of their clean wool production "
92,Marwari,Cobalt deficiency,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. The disease might result in poor coat of wool"
93,Marwari,Coccidiosis,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. diarrhea caused by coccidiosis can also lead to heavily soiled fleece and an increased risk of flystrike "
94,Marwari,Copper deficiency,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. copper deficiency may result in a poor fleece without its natural “crimp” which has been described as “steely wool”"
95,Marwari,Copper poisoning,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. This disease may lead to stringy wool and swayback or enzootic ataxia of lambs, which is a condition where lambs cannot coordinate their legs"
96,Marwari,Dermatophilosis,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. The wool of affected sheep may become matted and lumpy, and the fibers may be damaged . The wool may also become contaminated with bacteria, which can lead to further complications "
97,Marwari,Exposure losses,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. it is possible that exposure losses can indirectly affect wool quality by causing stress to the sheep, which can lead to wool breakage or wool loss"
98,Marwari,Foot abscess,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. it is possible that foot abscesses can indirectly affect wool quality by causing stress to the sheep, which can lead to wool breakage or wool loss"
99,Marwari,Footrot,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. Footrot can cause sheep to lose weight, produce less wool, and have lower lambing performance"
100,Marwari,Grasstetany(hypomagnesaemia),"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. The disease can lead to decreased wool production and quality due to stress and poor overall health."
101,Marwari,Large lungworm,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. This disease might result in lower wool yields and poorer wool quality, as the sheep may not have the energy or resources to produce high-quality wool."
102,Marwari,Listerosis(circling disease),"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense.  the illness and death of affected sheep can result in decreased wool quality and quantity due to stress and reduced flock size."
103,Marwari,Lupinosis,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. Due to this disease,There were reductions in clean fleece weight, yield, mean fibre diameter and staple strength, and changes in position of break attributable to administration of phomopsins"
104,Marwari,Mastitis,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. Mastitis in sheep can have an impact on wool quality and quantity. The inflammation caused by mastitis can lead to changes in the wool follicles, resulting in uneven wool growth, shorter staple length, and wool quality. In severe cases, the inflammation can cause wool breakage, leading to wool loss."
105,Marwari,Milk fever(hypocalcaemia),"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. Regarding wool, there is no direct impact of milk fever on the quality or quantity of wool production."
106,Marwari,Nitrate poisoning,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. This might cause wool fibers to become brittle and break more easily.It can also cause discoloration of wool.The wool may be weaker, have more breaks, and be more prone to shrinkage during processing."
107,Marwari,Ovine Johne's disease(OJD),"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. OJD can affect wool production in infected sheep. The disease causes severe wasting, which can lead to a decrease in body condition score and wool production. Additionally, the wool quality may be affected due to the poor nutrition of the infected sheep "
108,Marwari,Oxalate poisoning,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. it is known that the disease can cause a decrease in body condition score and wool production due to severe wasting"
109,Marwari,Perennial ryegrass,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. it is known that the disease can cause a decrease in body condition score and wool production due to severe wasting"
110,Marwari,Phalaris poisoning,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense.  The wool may become coarse, brittle, and discolored, leading to reduced wool quality."
111,Marwari,Phalaris staggers,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. The disease might lead to abnormal wool growth or damage to the wool follicles."
112,Marwari,Photosensitisation,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense. In severe cases, the skin damage can lead to skin sloughing, which can further exacerbate the impact on wool production."
113,Marwari,Pink eye,"Face colour of sheep is black,extending upto the lower part of the neck.Fleece of this sheep breed is white and not very dense.  In some cases, the inflammation and discharge caused by the infection can also lead to wool staining, which can be difficult to remove and may affect the value of the wool."
